,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
Refresh,Refresh,刷新,刷新,Обновить,Segarkan,Refresh
Region Limit,Region Limit,区域限制,區域限制,Region Limit,Batas Wilayah,Giới hạn thế giới
Relative position: %s,Relative position: %s,相对坐标: %s,相對位置: %s,Относительное положение: %s,Posisi relatif: %s,Vị trí liên quan: %s
Relay Stone,Relay Stone,聚电石,聚電石,Релейный камень,Relay Stone,Đá relay
Reload,Reload,重新加载,重新加載,Перезагрузить,Muat Ulang,Tải lại
Reload files,Reload files,重新加载文件,重新加載檔案,Перезагрузить файлы,Muat ulang file,Tải lại files
Remarkable,Remarkable,奇馈,奇饋,Удивительный,Remarkable,Đáng Chú Ý
Remarkable Chest,Remarkable Chest,奇馈宝箱,奇饋寶箱,Удивительный сундук,Remarkable Chest,Rương Kỳ dị
Remote Combine,Remote Combine,远程合成,遠程合成,Удалённая алхимия,Combine Jarak Jauh,Remote Ghép
Remote Utility,Remote Utility,远程工具,遠程工具,Удалённый доступ,Utility Jarak Jauh,Remote Chức năng
Remote combine item.,Remote combine item.,远程合成物品。,遠程合成物品。,Удалённо может создать предмет в алхимии.,Combine item dimana saja.,Remote Ghép vật phẩm
RemoteCombine,RemoteCombine,远程合成,遠程合成,Удалённая алхимия,RemoteCombine,Remote Ghép
RemoteUtility,RemoteUtility,远程工具,遠程工具,Удалённый доступ,RemoteUtility,Remote Chức năng
Remove,Remove,移除,移除,Убрать,Hapus,Xoá
Remove Collider,Remove Collider,移除碰撞器,移除碰撞器,Убрать столкновения,Hapus Collider,Xoá Collider
Remove HP,Remove HP,移除血量,移除血量,Убрать здоровье,Hapus HP,Xoá HP
Remove Last,Remove Last,移除最后一个,移除最后一个,Убрать последнее,Hapus Terakhir,Xoá Last
Remove damage output overlay,Remove damage output overlay,移除伤害输出覆盖,移除傷害輸出覆蓋,Убрать отображение урона на экране,Hapus overlay keluaran serangan,Xoá Overlay DMG output
Remove nearby node (meter),Remove nearby node (meter),移除临近点位(米),移除臨近點位(米),Remove nearby node (meter),Hapus node terdekat (meter),Xoá nearby node (m)
Removes delay in-between sprints.,Removes delay in-between sprints.,移除多次冲刺间的冷却时间,移除多次沖刺間的冷卻時間,Удаляет задержку между рывками.,Menghilangkan cooldown pada sprint.,Xoá delay khi spam chạy
"Removes energy requirement for elemental bursts.
(Energy bubble may appear incomplete but still usable.)","Removes energy requirement for elemental bursts.
(Energy bubble may appear incomplete but still usable.)",元素爆发不再需要充满能量(技能图标看起来是未充满但仍然可以使用),元素爆發不再需要充滿能量(技能圖標看起來是未充滿但仍然可以使用),Убирает необходимость заряжать энергией взрыв стихии.,"Meniadakan kebutuhan energi untuk elemental burst.
(Bola energi akan tampil tidak penuh tapi bisa digunakan.)","Xoá năng lượng cần thiết cho kỹ năng nộ.
(Bong bóng có thể xuất hiện là chưa đầy nhưng vẫn xài được.)"
Removes the fog.,Removes the fog.,移除雾气,移除霧氣,Убирает туман с поля зрения.,Hilangkan kabut asap.,Xoá hiệu ứng sương mù.
Rename,Rename,重命名,重命名,Переименовать,Ubah nama,Đổi tên
Rename (Pseudo),Rename (Pseudo),重命名 (伪),重命名 (偽),Переименовать (Pseudo),Ubah nama (Pseudo),Đổi tên (Fake)
Repeat Delay (ms),Repeat Delay (ms),重复间隔 (毫秒),重覆間隔 (毫秒),Задержка перед повтором (в мс),Delay Pengulangan (ms),Lặp lại Delay (ms)
Reset Key,Reset Key,重置快按键,重置快按鍵,Горячая клавиша сброса,Tombol Reset,Reset Phím
Reset Roll,Reset Roll,重置滚动,重置滾動,Сбросить прокрутку,Reset Tarikan,Reset Roll
Reset time (ms),Reset time (ms),重置时间(毫秒),重置時間(毫秒),Время сброса (в мс),Waktu reset (ms),Reset thời gian (ms)
ResetObj,ResetObj,重置,重置,ResetObj,ResetObj,ResetObj
Resonance!,Resonance!,共鸣!,共鳴!,Resonance!,Resonansi!,Cộng Hưởng!
ResonanceElectric,ResonanceElectric,与雷元素共鸣,與雷元素共鳴,ResonanceElectric,Resonansi Electro,Cộng hưởng Lôi
ResonanceGrass,ResonanceGrass,与草元素共鸣,與草元素共鳴,ResonanceGrass,Resonansi Dendro,Cộng hưởng Thảo
ResonanceRock,ResonanceRock,与岩元素共鸣,與岩元素共鳴,ResonanceRock,Resonansi Geo,Cộng hưởng Nham
ResonanceWind,ResonanceWind,与风元素共鸣,與風元素共鳴,ResonanceWind,Resonansi Anemo,Cộng hưởng Phong
Resources,Resources,资源,資源,Ресурсы,Resources,Các nguồn tài nguyên
Reverse selecte,Reverse selecte,反选,反選,Обратное выделение,Invers terpilih,Quay ngược thứ đã chọn
Revert latest completion,Revert latest completion,恢复最近一次完成,恢覆最近一次完成,Отменить предыдущее действие,Batalkan penyelesaian terakhir,Quay về điểm hoàn thành cuối cùng
Rifthound,Rifthound,兽境猎犬,獸境獵犬,Гончая разрыва,Rifthound,Sói ma vật
Rifthound Whelp,Rifthound Whelp,兽境幼犬,獸境幼犬,Щенок разрыва,Rifthound Whelp,Sói ma vật nham
Right,Right,右,右,Right,Kanan,Phải
Right HotKey,Right HotKey,向右热键,向右熱鍵,"Горячая клавиша ""Вправо""",Hotkey Kanan,Hotkey Phải
Rishboland Tiger,Rishboland Tiger,长鬓虎,長鬢虎,Тигр ришболда,Rishboland Tiger,Hổ lông dài
Risk Unknown!,Risk Unknown!,风险未知!,風險未知!,Риск неизвестен!,Resiko Tidak Diketahui!,Risk Unknown!
Rnm,Rnm,重命名,重命名,Rnm,Rnm,Rnm
Rock,Rock,岩,岩,Rock,Rock,Đá
Rock Pile,Rock Pile,岩石堆,岩石堆,Куча камней,Rock Pile,Cọc đá
Rod will be recast after this delay (in ms).,Rod will be recast after this delay (in ms).,经过重抛延迟后，将会重新抛竿。,經過重抛延遲後，將會重新拋竿。,Удочка заново забросится через указанную задержку (в мс).,Akan mengulang mancing setelah delay (dalam ms).,Cần câu sẽ được văng ra lại sau khoảng delay (theo ms).
Roll Left,Roll Left,左滚动,左滾動,Прокрутить влево,Menarik ke Kiri,Cuộn Trái
Roll Right,Roll Right,右滚动,右滾動,Прокрутить вправо,Menarik ke Kanan,Cuộn phải
Roll Smoothing,Roll Smoothing,滚动平滑度,滾動平滑度,Плавность прокрутки,Penghalus Penarikan,Độ mượt khi cuộn
Roll Speed,Roll Speed,滚动速度,滾動速度,Скорость прокрутки,Kecepatan Menarik,Tốc độ cuộn
Rosaria,Rosaria,罗莎莉亚,羅莎莉亞,Розария,Rosaria,Rosaria
Rosaria_ToTheChurchsFreeSpirit,Rosaria: ToTheChurchsFreeSpirit,罗莎莉亚：致教会自由人,羅莎莉亞：致教會自由人,Розария: За вольный дух церкви,Rosaria_ToTheChurchsFreeSpirit,Rosaria: ToTheChurchsFreeSpirit
Royal Bow,Royal Bow,宗室长弓,宗室長弓,Королевский лук,Royal Bow,Cung tông thất
Royal Greatsword,Royal Greatsword,宗室大剑,宗室大劍,Королевский двуручный меч,Royal Greatsword,Đại kiếm tông thất
Royal Grimoire,Royal Grimoire,宗室秘法录,宗室秘法錄,Королевский гримуар,Royal Grimoire,Mật pháp tông thất
Royal Longsword,Royal Longsword,宗室长剑,宗室長劍,Королевский длинный меч,Royal Longsword,Trường kiếm tông thất
Royal Spear,Royal Spear,宗室长枪,宗室長槍,Королевское копьё,Royal Spear,Thương săn tông thất
Ruin Brazier,Ruin Brazier,遗迹之烛,遺跡之燭,Свеча руин,Ruin Brazier,Trụ hoả
Ruin Drake,Ruin Drake,遗迹龙兽,遺跡龍獸,Дракон руин,Ruin Drake,Rồng điềm báo vạn kiếp
Ruin Grader,Ruin Grader,遗迹重机,遺跡重機,Руинный молотильщик,Ruin Grader,Cần cẩu di tích
Ruin Guard,Ruin Guard,遗迹守卫,遺跡守衛,Страж руин,Ruin Guard,Thủ vệ di tích
Ruin Hunter,Ruin Hunter,遗迹猎手,遺跡獵手,Руинный охотник,Ruin Hunter,Thợ săn di tích
Ruin Sentinel,Ruin Sentinel,遗迹机兵,遺跡機兵,Часовые руин,Ruin Sentinel,Hộ vệ di tích
Ruin Serpent,Ruin Serpent,遗迹巨蛇,遺跡巨蛇,Змей руин,Ruin Serpent,Rắn di tích
Rukkhashava Mushroom,Rukkhashava Mushroom,树王圣体菇,樹王聖體菇,Гриб руккхашава,Rukkhashava Mushroom,Nấm Rukkhashava
Runtime patcher. Only use it on private servers.,Runtime patcher. Only use it on private servers.,运行时补丁，仅在私服使用。,運行時(Runtime)補丁，僅在私服使用。,Патч Runtime. Использовать только на приватных серверах.,Patch berjalan. Hanya gunakan di server privat.,Runtime patcher. Only use it on private servers.
Rust,Rust,弓藏,弓藏,Ржавый лук,Rust,Cung Rỉ sét
Rusty Koi,Rusty Koi,锖假龙,錆假龍,Стальной лжедракон,Rusty Koi,Cá rồng thép
Sacred Sakura,Sacred Sakura,神樱树,神櫻樹,Священная сакура,Sacred Sakura,Anh Đào Thần
Sacred Seal,Sacred Seal,圣章石,聖章石,Священная печать,Sacred Seal,Đá thánh chương
Sacrificial Bow,Sacrificial Bow,祭礼弓,祭禮弓,Церемониальный лук,Sacrificial Bow,Cung tế lễ
Sacrificial Fragments,Sacrificial Fragments,祭礼残章,祭禮殘章,Церемониальные мемуары,Sacrificial Fragments,Mảnh chương tế lễ
Sacrificial Greatsword,Sacrificial Greatsword,祭礼大剑,祭禮大劍,Церемониальный двуручный меч,Sacrificial Greatsword,Đại kiếm tế lễ
Sacrificial Sword,Sacrificial Sword,祭礼剑,祭禮劍,Церемониальный меч,Sacrificial Sword,Kiếm tế lễ
Saghira Machine,Saghira Machine,能量提取装置,能量提取裝置,Экстрактор для добычи энергии,Saghira Machine,Cổ máy Saghira
Sakura Bloom,Sakura Bloom,绯樱绣球,緋櫻繡球,Цвет сакуры,Sakura Bloom,Hạt anh đào
Salamander,Salamander,鳅鳅,鰍鰍,Саламандра,Salamander,Thằn lằn
Samachurl,Samachurl,丘丘萨满,丘丘薩滿,Самачурл,Samachurl,Phù thuỷ hilichurl
Sand Grease Pupa,Sand Grease Pupa,沙脂蛹,沙脂蛹,Личинка песчаного жировика,Sand Grease Pupa,Nhộng Cát
Sand Pile,Sand Pile,松散的沙堆,松散的沙堆,Куча песка,Sand Pile,Vũng cát
Sandbearer Wood,Sandbearer Wood,却砂木,卻砂木,Песчаное дерево,Sandbearer Wood,Gỗ khước sa
Sandstorm Angler,Sandstorm Angler,吹沙角鲀,吹沙角魨,Песчаный иглобрюх,Sandstorm Angler,Cá nóc bão cát
Sango Pearl,Sango Pearl,珊瑚珍珠,珊瑚珍珠,Жемчужина Санго,Sango Pearl,Ngọc san hô
Sangonomiya Cohort,Sangonomiya Cohort,珊瑚宫成员,珊瑚宮成員,Отряд Сангономии,Sangonomiya Cohort,Sangonomiya Cohort
Sangonomiya Kokomi,Sangonomiya Kokomi,珊瑚宫心海,珊瑚宮心海,Кокоми,Sangonomiya Kokomi,Sangonomiya Kokomi
Sapphire,Sapphire,蓝宝石,藍寶石,Сапфир,Sapphire,Bạch miêu
Sapwood Blade,Sapwood Blade,原木刀,原木刀,Деревянный клинок,Sapwood Blade,Kiếm gỗ
Sara,Kujou Sara,九条裟罗,九條裟羅,Сара,Kujou Sara,Kujou Sara
Save Theme,Save Theme,保存主题,保存主題,Сохранить тему,Simpan Tema,Lưu Theme
Save changes,Save changes,保存更改,保存更改,Сохранить изменения,Simpan perubahan,Lưu những thay đổi
Save completed points,Save completed points,保存完成的点位,保存完成的點位,Сохранить закрытые точки,Simpan poin yang selesai,Lưu những điểm đã hoàn thành
Save scope for completed items.,Save scope for completed items.,保存已完成物品的范围。,保存已完成物品的範圍。,Сохранить область закрытых точек.,Simpan poin-poin yang selesai,Save scope for completed items.
Sayu,Sayu,早柚,早柚,Саю,Sayu,Sayu
Scarab,Scarab,圣金虫,聖金蟲,Скарабей,Scarab,Bọ thánh kim
Scarlet Quartz,Scarlet Quartz,深赤之石,深赤之石,Алый кварц,Scarlet Quartz,Quặng mã não
Scarlet Quartz Drop,Scarlet Quartz Drop,深赤之石掉落,深赤之石掉落,Алый кварц,Scarlet Quartz Drop,Quặng mã não rơi
Scorpion,Scorpion,毒蝎,毒蠍,Скорпион,Scorpion,Bò cạp
Sea Ganoderma,Sea Ganoderma,海灵芝,海靈芝,Морской гриб,Sea Ganoderma,Hải linh chi
Seagrass,Seagrass,海草,海草,Морская трава,Seagrass,Rong biển
Seal Location,Seal Location,键纹解锁点,鍵紋解鎖點,Печать,Seal Location,Vị trí ấn khoá
Seal Location I,Seal Location I,键纹锁 I,鍵紋鎖 I,Печать I,Seal Location I,Vị trí ấn khoá I
Seal Location II,Seal Location II,键纹锁 II,鍵紋鎖 II,Печать II,Seal Location II,Vị trí ấn khoá II
Seal Location III,Seal Location III,键纹锁 III,鍵紋鎖 III,Печать III,Seal Location III,Vị trí ấn khoá III
Seal Location IV,Seal Location IV,键纹锁 IV,鍵紋鎖 IV,Печать IV,Seal Location IV,Vị trí ấn khoá IV
Seal Location V,Seal Location V,键纹锁 V,鍵紋鎖 V,Печать V,Seal Location V,Vị trí ấn khoá V
Seal Locations,Seal Locations,键纹锁,鍵紋鎖,Расположение пачатей Энканомии,Seal Locations,Các vị trí ấn khoá
Sealed Chest,Sealed Chest,封印的宝箱,封印的寶箱,Заблокированный сундук,Sealed Chest,Rương khoá
Search,Search,搜索,搜索,Поиск,Cari,Tìm kiếm
Search Filters,Search Filters,搜索物品,搜索過濾器,Поисковые фильтры,Filter Pencarian,Tìm kiếm theo loại
Search Point,Search Point,调查点,調查點,Точки исследования,Cari Poin,Điểm tìm kiếm
Search Points,Search Points,调查点,調查點," Точки исследования",Cari Poin-poin,Những điểm tìm kiếm
Search:,Search:,搜索:,搜索:,Поиск:,Cari,Tìm kiếm:
Seasoned Hunter's Bow,Seasoned Hunter's Bow,历练的猎弓,歷練的獵弓,Лук опытного охотника,Seasoned Hunter's Bow,Cung săn bắn tôi luyện
Seelie,Seelie,仙灵,仙靈,Фея,Seelie,Tinh linh gió
Seelie Court,Seelie Court,仙灵座,仙靈座,Лампа для фей,Seelie Court,Trụ tinh linh
Seelie Lamp,Seelie Lamp,仙灵座,仙靈座,Лампа для фей,Seelie Lamp,Đèn tinh linh
Select,Select,选择,選擇,Выбрать,Pilih,Chọn
Select All,Select All,全选,全選,Выбрать всё,Pilih Semua,Chọn Tất cả
Select The Type Of Wings.,Select The Type Of Wings.,选择风之翼类型,选择风之翼类型,Выберите нужный вид крыльев.,Pilih tipe Wind Glider,Chọn mọi loại cánh.
Select all,Select all,全选,全選,Выбрать всё,Pilih semua,Chọn tất cả
Select the mode of box drawing.,Select the mode of box drawing.,选择边框绘制模式,選擇邊框繪制模式,Выберите режим отрисовки куба.,Pilih mode kotak.,Chọn chế độ vẽ đóng hộp.
Select the mode of tracer drawing.,Select the mode of tracer drawing.,选择追踪绘制模式,選擇追蹤繪制模式,Выберите режим рисования направления стрелы.,Pilih mode tracer.,Chọn chế độ vẽ tracer.
Select the quality of cook result.,Select the quality of cook result.,选择烹饪结果的质量,選擇烹飪結果的質量,Выберите качество вашей еды.,Pilih kualitas masakan.,Chọn chất lượng cho sản phẩm.
Select weather type.,Select weather type.,选择天气类型,選擇天氣類型,Выберите погоду.,Pilih cuaca.,Chọn loại thời tiết.
Selected a monster.,Selected a monster.,选择一个怪物.,選擇一個怪物.,Выберите монстра для замены.,Pilih monster.,Quái vật đã được chọn.
Serpent Spine,Serpent Spine,螭骨剑,螭骨劍,Меч драконьей кости,Serpent Spine,Kiếm li cốt
Set AltSpeed HotKey,Set AltSpeed HotKey,设置变速热键,設置變速熱鍵,Назначить горячую клавишу альтернативной скорости,Mengubah Hotkey Kecepatan Alternatif,Chỉnh AltSpeed HotKey
Set Ascend Key,Set Ascend Key,设置上升按键,設置上升按鍵,Назначить горячую клавишу взлёта,Mengubah Tombol Naik,Chỉnh phím lên
Set Back Key,Set Back Key,设置向后按键,設置向後按鍵,"Назначить горячую клавишу ""Назад""",Mengubah Tombol Mundur,Chỉnh phím lui
Set Descend Key,Set Descend Key,设置降低按键,設置降低按鍵,Назначить горячую клавишу спуска,Mengubah Tombol Turun,Chỉnh phím xuống
Set Forward Key,Set Forward Key,设置向前按键,設置向前按鍵,"Назначить горячую клавишу ""Вперёд""",Mengubah Tombol Maju,Chỉnh phím tới
Set Left Key,Set Left Key,设置向左按键,設置向左按鍵,"Назначить горячую клавишу ""Влево""",Mengubah Tombol Kiri,Chỉnh phím trái
Set Right Key,Set Right Key,设置向右按键,設置向右按鍵,"Назначить горячую клавишу ""Вправо""",Mengubah Tombol Kanan,Chỉnh phím phải
Set UID position X,Set UID position X,设置UID X坐标,設置UID X坐標,Назначить позицию UID по оси X,Mengubah posisi X UID,Chỉnh vị trí X UID
Set UID position y,Set UID position y,设置UID Y坐标,設置UID Y坐標,Назначить позицию UID по оси y,Mengubah posisi y UID,Chỉnh Vị trí Y UID
Set UID size,Set UID size,设置UID字体大小,設置UID字體大小,"Размер UID ",Mengubah ukuran UID,Chỉnh kích cỡ UID
Set a field of view value.,Set a field of view value.,设置视场大小值,視場大小值,Назначает значение поля зрения.,Mengubah nilai field of view.,Chỉnh giá trị FOV.
Set a fixed additional zoom value to the camera.,Set a fixed additional zoom value to the camera.,给相机设置一个固定的附加视距值,給相機設置一個固定的附加變焦值,Установить фиксированное значение приближения камеры.,Mengubah nilai tambahan pada zoom kamera.,Chỉnh những giá trị sửa lỗi zoom cho camera.
Set accounts' name showing type.,Set accounts' name showing type.,设置账号名显示类型,設置帳號名顯示類型,"Назначает тип отображения имени аккаунта. ",Mengubah tipe tampilan nama akun.,Chỉnh tên tài khoản hiển thị loại.
Set avatar invisible,Set avatar invisible,设置角色不可见,設置頭像不可見,Установить невидимую иконку профиля.,Hilangkan avatar,Chỉnh avatar tàn hình
Set collider,Set collider,设置碰撞器,設置碰撞器,Установить столкновение,Mengubah collider,Set Collider
Set the camera's maximum zoom radius ratio.,Set the camera's maximum zoom radius ratio.,设置相机的最大视距半径比,設置相機的最大變焦半徑比,Установите максимальное значение радиуса масштабирования камеры.,Ubah rasio maksimum zoom kamera.,Chỉnh zoom maximum radius ratio.
Set the camera's minimum zoom radius ratio.,Set the camera's minimum zoom radius ratio.,设置相机的最小视距半径比,設置相機的最小變焦半徑比,Установите минимальное значение радиуса масштабирования камеры.,Mengubah rasio minimum zoom kamera.,Chỉnh zoom minimum của camera.
"Set the camera's zoom speed multiplier.
Note: Sensitive and can be buggy. Best left at 1.","Set the camera's zoom speed multiplier.
Note: Sensitive and can be buggy. Best left at 1.","设置相机的视距速度乘数。
注意：该数值很灵敏，可能会产生问题，最好设置为1。","設置相機的變焦速度乘數。
注意：該數值很靈敏，可能會產生問題，最好設置為1。","Установить множитель скорости приближения (или отдаления) камеры.
Заметка: Настройка чувствительности камеры может забаговаться. Лучше оставить значение около 1.","Mengubah pengganda kecepatan zoom kamera.
Catatan: Bersifat sensitif dan dapat menimbulkan bug. Sebaiknya diset ke 1.","Chỉnh tốc độ nhân lên của camera.
Note: Độ nhạy có thể bị bug. Nên để là 1."
Setekh Wenut,Setekh Wenut,风蚀沙虫,風蝕沙蟲,Унут Сетеха,Setekh Wenut,Setekh Wenut
Settings,Settings,设置,設置,Настройки,Pengaturan,Tuỳ chỉnh
Shadowy Husk,Shadowy Husk,黯色空壳,黯色空殼,Чёрный доспех,Shadowy Husk,Vỏ rỗng
Shaggy Sumpter Beast,Shaggy Sumpter Beast,牦牦驮兽,牦牦馱獸,Лохматый вьючий як,Shaggy Sumpter Beast,Thú thồ hàng
Sharpshooter's Oath,Sharpshooter's Oath,神射手之誓,神射手之誓,Клятва стрелка,Sharpshooter's Oath,Lời thề xạ thủ thần
Shenhe,Shenhe,申鹤,申鶴,Шэнь Хэ,Shenhe,Shenhe
Shields,Shields,护盾,護盾,Щиты,Shields,Khiên
Shikanoin Heizou,Shikanoin Heizou,鹿野院平藏,鹿野院平藏,Хэйдзо,Shikanoin Heizou,Shikanoin Heizou
ShimmeringGalaxy,ShimmeringGalaxy,星汉灿烂之翼,星漢燦爛之翼,Сверкающие звёздные крылья,Shimmering Galaxy,Thiên Hà Lung Linh
Shinobu,Shinobu,久岐忍,久岐忍,Синобу,Shinobu,Shinobu
Shogun,Shogun,雷电将军,雷電將軍,Райдэн,Shogun,Shogun
Shogunate Infantry,Shogunate Infantry,幕府足轻,幕府足輕,Пехота сёгуната,Shogunate Infantry,Đội quân Shogunate
ShogunateInfantry,ShogunateInfantry,幕府足轻,幕府足輕,Пехота сёгуната,ShogunateInfantry,Đội quân Shogunate
Shouki No Kami,Shouki No Kami,正机之神,正機之神,Сёки но ками,Shouki No Kami,Shouki No Kami
Show Cheat Menu Key,Show Cheat Menu Key,显示Bkebi菜单按键,顯示Bkebi菜單按鍵,Назначить горячую клавишу отображения меню чита,Tombol Menu Cit,Phím Hiển thị Cheat
Show Chest Indicator,Show Chest Indicator,显示宝箱指示器,顯示寶箱指示器,Отображать индикатор сундуков,Tampilkan Indikator Chest,Hiển thị chỉ số rương
Show Crosshair,Show Crosshair,显示十字准星,顯示十字準星,Show Crosshair,Tampilkan Crosshair,Hiển thị Tâm
Show Empty Types,Show Empty Types,显示空类型,顯示空類型,Отображать пустые типы,Tampilkan Tipe Kosong,Hiển thị những loại trống
Show FPS Indicator,Show FPS Indicator,显示FPS指示器,顯示FPS指示器,Показывать счётчик FPS,Tampilkan Indikator FPS,Hiển thị FPS
Show GameMaster tools icon.,Show GameMaster tools icon.,"显示 GM 工具图标 ","顯示 GM 工具圖標 ",Show GameMaster tools icon.,Tampilkan ikon tools GameMaster.,Hiển Thị icon tools của GameMaster.
Show HD icons,Show HD icons,显示高清图标,顯示高清圖標,Показывать иконки HD-качества,Tampilkan ikon HD,Hiển thị HD Icons
Show Icons,Show Icons,显示图标,Show Icons,Отображать иконки,Tampilkan Ikon,Hiển thị Icons
Show ImGui theme customization window.,Show ImGui theme customization window.,显示ImGui主题定制窗口,顯示ImGui主題定制視窗,Показывать окно ImGui для кастомизацаии тем.,Menampilkan jendela kostumisasi tema ImGui.,Hiển thị cửa sổ ImGui theme customization.
Show Info,Show Info,显示信息,顯示信息,Показывать информацию,Tampilkan Info,Hiển thị Info
Show Info Window,Show Info Window,显示信息窗口,顯示信息視窗,"Показывать окно ""Info""",Tampilkan Jendela Info,Hiển thị cửa sổ info
Show Level-Up Dialog For Substat Rolls,Show Level-Up Dialog For Substat Rolls,显示升级信息对话框,顯示升級信息對話框,Показывать экран прокачки уровня артефакта при получении саб-стата,Tampilkan Dialog Naik Level Pada Substat,Hiển thị hộp thoại nâng cấp cho dòng phụ
Show Notifications,Show Notifications,显示通知,顯示通知,Показывать уведомления,Tampilkan Notifikasi,Hiển thị những thông báo
Show Only Oculi,Show Only Oculi,仅显示神瞳,僅顯示神瞳,Показывать только окулусы,Hanya Tampilkan Oculus,Hiển thị mỗi Thần đồng
Show Skill CDs,Show Skill CDs,显示技能 CD,顯示技能 CD,Показывать время перезарядки элементального навыка,Tampilkan CD Skill,Hiển thị Skill CDs
Show Skill Cooldowns,Show Skill Cooldowns,显示技能冷却,顯示技能冷卻,Показывать время перезарядки навыков,Tampilkan Cooldown Skill,Hiển thị thời gian hồi chiêu
Show Status Window,Show Status Window,显示状态窗口,顯示狀態視窗,"Показывать окно ""Status""",Tampilkan Jendela Status,Hiển thị Cửa sổ trạng thái
Show Theme Customization,Show Theme Customization,显示ImGui主题定制,顯示ImGui主題定制,Показать окно кастомизации тем,Tampilkan Kostumisasi Tema,Hiển thị Tuỷ chỉnh Theme
Show Type,Show Type,显示类型,顯示類型,Показывать тип,Tampilkan Tipe,Hiển thị loại
Show a visual indicator to the nearest entity.,Show a visual indicator to the nearest entity.,向最近的实体显示一个可视的指示器。,向最近的實體顯示一個可視的指示器。,Show a visual indicator to the nearest entity.,Menunjukkan indikator visual ke entitas terdekat.,Show chỉ số hiệu ứng đến thực thể gần nhất.
Show arrows with icons.,Show arrows with icons.,显示带有图标的箭头,顯示帶有圖標得箭頭,Показывать стрелы с иконками.,Menampilkan panah dengan ikon.,Show mũi tên với icons.
"Show chests, game mechanics.","Show chests, game mechanics.",显示宝箱、游戏机制。,顯示寶箱、遊戲機制。,"Показывает сундуки, и всякие механики игры.","Menampilkan chest, waypoint, dan mekanik lainnya.","Show các rương, các cơ chế game."
Show completed,Show completed,显示完成的,顯示完成的,Показывать закрытые точки,Tampilkan poin yang selesai,Show đã hoàn thành
Show completed points.,Show completed points.,显示完成点位。,顯示完成點位。,Отображает на карте закрытые точки.,Menampilkan poin-poin yang selesai.,Show những điểm đã hoàn thành.
Show custom filters config window.,Show custom filters config window.,显示自定义筛选器。,顯示自定義篩選器。,Показывать окно с пользовательскими фильтрами.,Menampilkan jendela konfigurasi filter kustom.,Show custom fiters của cửa sổ chỉnh sửa.
Show filtered object through obstacles.,Show filtered object through obstacles.,穿过障碍物显示过滤的物体,穿過障礙物顯示過濾的物體,Показывать отфильтрованный объект сквозь препятствия.,Menampilkan objek terfilter melalui halangan.,Show những đồ vật được lọc thông qua chướng ngại vật.
Show in-completed,Show in-completed,显示未完成,顯示未完成,Показывать незакрытые точки,Tampilkan poin yang belum selesai,Show chưa hoàn thành
Show in-completed points.,Show in-completed points.,显示未完成的点位,顯示未完成的點位,Отображает на карте незакрытые точки.,Menampilkan poin-poin yang belum selesai,Show những điểm chưa hoàn thành.
"Show level up dialog when artifacts roll substats
(when hitting levels 4, 8, 12, 16, and 20).","Show level up dialog when artifacts roll substats
(when hitting levels 4, 8, 12, 16, and 20).","显示物品升级信息对话框。
(当等级到达 4, 8, 12, 16 和 20时)","顯示物品升級信息對話框。
(當等級到達 4, 8, 12, 16 和 20時)","Отображать экран прокачки уровня, когда артефакт получает или улучшает саб-стат
(на 4, 8, 12, 16 и 20 уровнях).","Menampilkan dialog naik level ketika artefak mencapai level 4, 8, 12, 16, 20.","Show hộp thoại nâng cấp khi thánh di vật roll được các dòng phụ (Khi chạm mốc 4, 8, 12, 16, và 20)."
Show short info about nearest chest to the info window.,Show short info about nearest chest to the info window.,在信息窗口显示关于最近宝箱的简易信息,在信息視窗顯示關於最近寶箱的簡易信息,"Отображать информацию о ближайших сундуках в окне ""Info"".",Menampilkan info ringkas terkait chest terdekat ke jendela info.,Show ít thông tin về rương gần nhất trong cửa sổ info.
Show skill cooldowns and charges besides team buttons.,Show skill cooldowns and charges besides team buttons.,在队伍按钮旁显示技能冷却时间和充能。,在隊伍按鈕旁顯示技能冷卻時間和充能。,Показывать время перезарядки навыков рядом с отрядом.,Menampilkan cooldown skill dan charge di samping tombol tim.,Show thời gian hồi chiêu và nạp bên cạnh những nút của team.
Shrine Of Depth,Shrine Of Depth,地灵龛,地靈龕,Усыпальница глубин,Shrine Of Depth,Đền địa linh
Shrines of Depths,Shrines of Depths,地灵龛,地靈龕,Усыпальницы глубин,Shrines of Depths,Các đền địa linh
Shroomboar,Shroomboar,蕈猪,蕈豬,Грибосвин,Shroomboar,Heo nấm
Signal Spirit,Signal Spirit,风之厄灵,風之厄靈,Дух предзнаменования ветра,Signal Spirit,Tín hiệu của spirit
Signora,Signora,女士,女士,Синьора,Signora,Signora
Silk Flower,Silk Flower,霓裳花,霓裳花,Шелковица,Silk Flower,Hoa Nghê Thường
Silver Sword,Silver Sword,银剑,銀劍,Серебряный меч,Silver Sword,Kiếm bạc
