,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
"Speeds up game with hotkey.
Do NOT use this in the Open World, only use in menus/etc, VERY DANGEROUS!","Speeds up game with hotkey.
Do NOT use this in the Open World, only use in menus/etc, VERY DANGEROUS!","按键加速游戏。
不要在开放世界中使用，只能在菜单等地方使用，风险极高!","按键加速遊戲。
不要在開放世界中使用，只能在菜單等地方使用，風險極高!","Speeds up game with hotkey.
Do NOT use this in the Open World, only use in menus/etc, VERY DANGEROUS!","Percepat game dengan hotkey.
Jangan gunakan di Open World, hanya di menu/dll, SANGAT BERBAHAYA!","Tăng tốc game với hotkey. TUYỆT ĐỐI không được dùng ở thế giới bình thường, chỉ được sử dụng ở Menu/ vân vân, Cực kì NGUY HIỂM!"
Speeds up Time,Speeds up Time,对话时加速时间,對話時加速時間,Ускоряет игру буквально. Speedhack.,Percepat Waktu,Tăng tốc thời gian của game
Camera-relative movement,Camera-relative movement,相对相机方向移动,相對相機方向移動,Движение относительно камеры,Pergerakan berdasarkan kamera,Chuyển động tương đối của máy ảnh
Move relative to camera view instead of avatar view/direction.,Move relative to camera view instead of avatar view/direction.,相对相机视角进行移动而不是角色朝向移动,相對相機視角進行移動而不是角色朝向移動,"Движение в сторону направления камеры, нежели в сторону взгляда модели персонажа.","Pergerakan berdasarkan kamera, bukan avatar.",Di chuyển đến góc nhìn camera thay vì góc nhìn/hướng của avatar.
Go to view,Go to view,前往查看,前往查看,Перейти,Pergi ke view,Đi đến view
"Warning: This will delete the file from the directory and
	     remove the teleport from the list. It will be lost forever.","Warning: This will delete the file from the directory and
 	     remove the teleport from the list. It will be lost forever.","警告：这将从目录中删除文件并
　　　从传送列表中移除。文件将会永远消失。","警告：這將從目錄中刪除文件並
　　　從傳送列表中移除。文件將會永遠消失。","Важно: Удалятся все телепорты из списка ниже.
 			Они будут утеряны навсегда.","Peringatan: Ini akan menghapus semua file dari folder dan
 			menghapus teleport itu dari daftar. Tidak bisa dikembalikan.","Chú Ý: Nó sẽ xoá file từ directory và
 	      xoá điểm dịch chuyển từ danh sách và biến mất vĩnh viễn."
"WARNING: IF YOU DON'T UNDERSTAND THIS FEATURE, PLEASE DON'T USE IT.
IT IS VERY DANGEROUS WHEN YOU DON'T KNOW THE COMMAND WAHT IT DOES!","WARNING: IF YOU DON'T UNDERSTAND THIS FEATURE, PLEASE DON'T USE IT.
IT IS VERY DANGEROUS WHEN YOU DON'T KNOW THE COMMAND WAHT IT DOES!","警告：如果您不了解此功能，请不要使用它。
如果您不知道该命令的作用，那将非常危险！","警告：如果您不了解此功能，請不要使用它。
如果您不知道該命令的作用，那將非常危險！","WARNING: IF YOU DON'T UNDERSTAND THIS FEATURE, PLEASE DON'T USE IT.
IT IS VERY DANGEROUS WHEN YOU DON'T KNOW THE COMMAND WAHT IT DOES!","PERINGATAN: JANGAN GUNAKAN FITUR INI JIKA TIDAK PAHAM.
FITUR INI SANGAT BERBAHAYA JIKA DIGUNAKAN SEMBARANGAN!",LƯU Ý: NẾU BẠN KHÔNG HIỂU CHỨC NĂNG NÀY THÌ LÀM ƠN ĐỪNG XÀI. VÌ NÓ RẤT NGUY HIỂM KHI MÀ BẠN KHÔNG BIẾT CÂU LỆNH NÀY NÓ LÀM GÌ!
Abyss mage/churl/slime shields.,Abyss mage/churl/slime shields.,深渊法师/深渊使徒/史莱姆 的护盾,深淵法師/深淵使徒/史萊姆 的護盾,Щиты магов бездны/хиличурлов/слаймов,Perisai Abyss Mage/Churl/Slime.,Pháp Sư Vực Sâu / Churl / Lá Chắn Slime
Equipment,Equipment,装备,装备,Экипировка,Perlengkapan,Thiết bị
Perpetual Mechanical Array,Perpetual Mechanical Array,恒常机关阵列,恒常機關陣列,Бесконечный механический массив,Perpetual Mechanical Array,Mô hình động cơ vĩnh cữu
Companionship,Companionship­,守候之翼,守候之翼,Компаньоны,Persahabatan,Bạn đồng hành
Rect,Rect,矩形,矩形,Прямоугольник,Persegi,Khung
Rectangle,Rectangle,矩形,矩形,Прямоугольник,Persegi,Hình chữ nhật
"For first, open wish history. Url will appear after this action.","For first, open wish history. Url will appear after this action.",首先打开抽卡历史记录，之后将显示链接,首先打開抽卡歷史記錄，之後將顯示鏈接,"Для начала, откройте историю молитв. URL-ссылка появится после этого.","Pertama-tama, buka history wish. Url akan tampil setelah aksi ini.","Đầu tiên, hãy mở lịch sử cầu nguyện. Url sẽ xuất hiện sau khi mở."
Lightning,Lightning,闪电,閃電,Гроза,Petir,Sấm sét
"Lightning target enemy, works with RainHeavy weather.","Lightning target enemy, works with RainHeavy weather.",闪电目标设置为敌人，适用于雷暴天气。,閃電目標設置為敵人，適用於雷暴天氣。,Бьёт молнией текущего моба. Работает только при погоде 'Сильный дождь'.,"Petir menyambar musuh, hanya bekerja dengan cuaca Hujan Lebat","Sấm sét đánh lên kẻ địch, hoạt động với thời tiếc mưa lớn."
PF,PF,过滤,過濾,PF,PF,PF
Phantasmal Gate,Phantasmal Gate,幻梦之门,幻夢之門,Врата грёз,Phantasmal Gate,Cánh cổng anarana
Phase Gate,Phase Gate,相位之门,相位之門,Фазовые врата,Phase Gate,Giai đoạn Cổng
Philanemo Mushroom,Philanemo Mushroom,慕风蘑菇,慕風蘑菇,Гриб филанемо,Philanemo Mushroom,Nấm Rơm Gió
Phonemes,Phonemes,口型,口型,Фонемы,Phonemes,Âm vị
Pigeon,Pigeon,鸽子,鴿子,Голубь,Pigeon,Bồ Câu
Select,Select,选择,選擇,Выбрать,Pilih,Chọn
Select weather type.,Select weather type.,选择天气类型,選擇天氣類型,Выберите погоду.,Pilih cuaca.,Chọn loại thời tiết.
Select the quality of cook result.,Select the quality of cook result.,选择烹饪结果的质量,選擇烹飪結果的質量,Выберите качество вашей еды.,Pilih kualitas masakan.,Chọn chất lượng cho sản phẩm.
Choose any or both modes below.,Choose any or both modes below.,选择下面的任何1种或2种模式,選擇下面的任何1種或2種模式,Выберите любой из(или два) режимов из ниже предложенных вариантов.,Pilih mode dibawah.,Cicin
Select the mode of box drawing.,Select the mode of box drawing.,选择边框绘制模式,選擇邊框繪制模式,Выберите режим отрисовки куба.,Pilih mode kotak.,Chọn chế độ vẽ đóng hộp.
Select the mode of tracer drawing.,Select the mode of tracer drawing.,选择追踪绘制模式,選擇追蹤繪制模式,Выберите режим рисования направления стрелы.,Pilih mode tracer.,Chọn chế độ vẽ tracer.
Selected a monster.,Selected a monster.,选择一个怪物.,選擇一個怪物.,Выберите монстра для замены.,Pilih monster.,Quái vật đã được chọn.
Select All,Select All,全选,全選,Выбрать всё,Pilih Semua,Chọn Tất cả
Select all,Select all,全选,全選,Выбрать всё,Pilih semua,Chọn tất cả
Theme Select,Theme Select,选择主题,選擇主題,Выбрать тему,Pilih Tema,Chọn theme
Select The Type Of Wings.,Select The Type Of Wings.,选择风之翼类型,选择风之翼类型,Выберите нужный вид крыльев.,Pilih tipe Wind Glider,Chọn mọi loại cánh.
Pine Wood,Pine Wood,松木,松木,Сосна,Pine Wood,Gỗ Thông
Pinecone,Pinecone,松果,松果,Сосновая шишка,Pinecone,Hạt thông
Smart,Smart,智能,智能,Умный,Pintar,Thông minh
Pirate Helm,Pirate Helm,海盗船指针(清籁丸),海盜船指針(清籟丸),Пиратский штурвал,Pirate Helm,Vô lăng cướp biển
Places of Essence Worship,Places of Essence Worship,精华受拜处,精華受拜處,Места поклонения,Places of Essence Worship,Cây Thờ cúng tinh hoa
Placesof Essence Worship,Placesof Essence Worship,精华拜受处,精華拜受處,Места поклонения,Placesof Essence Worship,Cây Thờ cúng tinh hoa
Player::AutoRun,Player-AutoRun,玩家 - 自动奔跑,玩家 - 自動奔跑,Игрок-Автоматическое передвижение,Player-AutoRun,Người chơi - Tự Động Chạy
Pocket Grimoire,Pocket Grimoire,口袋魔导书,口袋魔導書,Карманный гримуар,Pocket Grimoire,Sổ tay ma pháp
Valid quest interact points.,Valid quest interact points.,有效的任务交互点,有效的任務互動點,"Точки исследования (доски, верёвки и т.п.).",Poin interaksi quest yang valid.,Điểm tương tác nhiệm vụ hợp lệ.
CornerBox,CornerBox,四角盒子,四角盒子,Куб,Pojok Kotak,Góc Box
Polar Star,Polar Star,冬极白星,冬極白星,Полярная звезда,Polar Star,Ngôi sao cực đông
Pole,Pole,长柄武器,長柄武器,Копьё,Pole,Thương
Polearms,Polearms,原胚,原胚,Копья,Polearms,Vũ khí cán dài
UID Pos X,UID Pos X,UID X坐标,UID X坐標,UID по оси X,Pos X UID,Vị trí ngang UID
UID Pos y,UID Pos y,UID Y坐标,UID Y坐標,UID по оси Y,Pos y UID,Vị trí dọc UID
Position,Position,坐标位置,座標位置,Позиция,Posisi,Vị trí
Avatar position: %s,Avatar position: %s,角色坐标: %s,角色座標: %s,Позиция игрока: %s,Posisi avatar: %s,Vị trí hình đại diện: %s
Level position: %s,Level position: %s,Level position: %s,Level position: %s,Позиция уровня: %s,Posisi level: %s,Vị trí cấp độ: %s
Relative position: %s,Relative position: %s,相对坐标: %s,相對位置: %s,Относительное положение: %s,Posisi relatif: %s,Vị trí liên quan: %s
Teleport position,Teleport position,传送坐标,傳送座標,Позиция телепорта,Posisi teleportasi,Dịch chuyển vị trí
Pot,Pot,锅,鍋,Чайник,Pot,Bình
Potato,Potato,土豆,土豆,Картошка,Potato,Khoai Tây
Precious,Precious,珍贵,珍貴,Драгоценный,Precious,Siêu Cấp
Precious Chest,Precious Chest,珍贵的宝箱,珍貴的寶箱,Драгоценный сундук,Precious Chest,Rương Siêu Cấp
Predator,Predator,掠食者,掠食者,Хищник,Predator,Cung Thép
Pressure Plate,Pressure Plate,压力石板,壓力石板,Нажимная плита,Pressure Plate,Tấm áp lực
Primal Construct,Primal Construct,元能构装体,元能構裝體,Первозданная конструкция,Primal Construct,Kết cấu nguyên thuỷ
Primal Ember,Primal Ember,元能火种,元能火種,Первозданные искры,Primal Ember,Trụ Ember
Primal Obelisk,Primal Obelisk,元能尖碑,元能尖碑,Первозданный обелиск,Primal Obelisk,Trụ Obelisk
Primal Sandglass,Primal Sandglass,元能沙钟,元能沙鐘,Первозданные песочные часы,Primal Sandglass,Đồng hồ cát khiêu chiến thời gian
Primo Geovishap,Primo Geovishap,古岩龙蜥,古岩龍蜥,Древний геовишап,Primo Geovishap,Rồng Đất Cổ Nham
Primordial Jade Cutter,Primordial Jade Cutter,磐岩结绿,磐岩結綠,Драгоценный омут,Primordial Jade Cutter,Bàn Nham Kết Lục
Primordial Jade Winged-Spear,Primordial Jade Winged-Spear,和璞鸢,和璞鳶,Нефритовый коршун,Primordial Jade Winged-Spear,Hoà Phát Diên
Profile,Profile,配置文件,配置文件,Профиль,Profil,Profile
"Adjusting items is power consumption operation.
So rescanning will happen with a specified delay.","Adjusting items is power consumption operation.
So rescanning will happen with a specified delay.","调整项目是消耗性能的操作，
因此重新扫描将以指定的延迟发生。","調整項目是消耗性能的操作，
因此重新掃描將以指定的延遲發生。","Пересортировка предметов довольно энергозатратное дело.
Поэтому сортировка будет проводиться с определённой задержкой.","Proses ini memakan cukup banyak daya.
Jadi proses rescanning akan dilakukan dalam delay tertentu.","Các mục điều chỉnh là hoạt động tiêu thụ điện năng.
Vì vậy, quá trình quét lại sẽ xảy ra với độ trễ được chỉ định."
Prototype Amber,Prototype Amber,试作金珀,試作金珀,Прототип: Янтарь,Prototype Amber,Mẫu Kim Phách
Prototype Archaic,Prototype Archaic,试作古华,試作古華,Прототип: Архаичный,Prototype Archaic,Kiếm Cổ Nham
Prototype Crescent,Prototype Crescent,试作澹月,試作澹月,Прототип: Полумесяц,Prototype Crescent,Mẫu Đạm Nguyệt
Prototype Rancour,Prototype Rancour,试作斩岩,試作斬岩,Прототип: Злоба,Prototype Rancour,Mẫu Trảm nham
Prototype Starglitter,Prototype Starglitter,试作星镰,試作星鐮,Прототип: Звёздный блеск,Prototype Starglitter,Mẫu Tinh Liêm
Pseudo: %s,Pseudo: %s,别名: %s,別名: %s,Pseudo: %s,Pseudo: %s,Làm fake: %s
Pufferfish,Pufferfish,炮鲀,炮魨,Иглобрюх,Pufferfish,Cá nóc
Purple Shirakodai,Purple Shirakodai,流纹京紫蝶鱼,流紋京紫蝶魚,Пурпурная рыба-бабочка,Purple Shirakodai,Cá bướm tím
Puzzle,Puzzle,解谜,解謎,Головоломка,Puzzle,Puzzle
Puzzle Chest,Puzzle Chest,解密宝箱,解密寶箱,Сундук головоломки,Puzzle Chest,Rương giải đố
Auto Puzzle,Auto Puzzle,自动解谜,自動解謎,Auto Puzzle,Puzzle Otomatis,Tự động giải đố
Puzzles,Puzzles,解密,解密,Головоломки,Puzzles,Các câu đố
Pyro,Pyro,火,火,Пиро,Pyro,Hoả
Pyro Abyss Lector,Pyro Abyss Lector,深渊咏者·渊火,深淵詠者·淵火,Пиро Вестник Бездны,Pyro Abyss Lector,Sứ đồ vực sâu Hoả
Pyro Hypostasis,Pyro Hypostasis,无相之火,無相之火,Пиро гипостазис,Pyro Hypostasis,Hoả Nguyên Bản
Pyro Regisvine,Pyro Regisvine,爆炎树,爆炎樹,Пиро орхидея,Pyro Regisvine,Cây Nổ
Qingxin,Qingxin,清心,清心,"Цветок цинсинь ",Qingxin,Thanh Tâm
Qiqi,Qiqi,七七,七七,Ци Ци,Qiqi,Qiqi
World Quests,World Quests,世界任务,世界任務,Задания мира,Quest Dunia,Nhiệm vụ thế giới
QuestTeleport,QuestTeleport,任务点传送,任務點傳送,Телепорт к заданию,QuestTeleport,Tele nhiệm vụ
Quicksand Unagi,Quicksand Unagi,流沙鳗鳗,流沙鰻鰻,Угорь зыбучих песков,Quicksand Unagi,Lươn Cát
Radiant Spincrystal,Radiant Spincrystal,旋曜玉帛,旋曜玉帛,Лучистый кристалл,Radiant Spincrystal,Ngọc Thạch Âm Vang
Radish,Radish,白萝卜,白蘿蔔,Редис,Radish,Củ cải
Radish Drop,Radish Drop,白萝卜掉落,白蘿蔔掉落,Редис,Radish Drop,Củ cải rớt ra
Radius,Radius,半径,半徑,Радиус,Radius,Bán kính
Radius (m),Radius (m),范围 (米),範圍 (米),Радиус (в метрах),Radius (m),Bán kính (m)
"Detection radius for the AFK Attack.
We recommend that the detection radius should not exceed the range of KillAura,
otherwise there may be a problem of inability to teleport.","Detection radius for the AFK Attack.
We recommend that the detection radius should not exceed the range of KillAura,
otherwise there may be a problem of inability to teleport.","AFK 攻击的检测半径。
我们建议检测半径不要超过杀戮光环的范围，
否则可能会出现无法瞬移的问题。","AFK 攻擊的檢測半徑。
我們建議檢測半徑不要超過殺戮光環的範圍，
否則可能會出現無法瞬移的問題。","Detection radius for the AFK Attack.
We recommend that the detection radius should not exceed the range of KillAura,
otherwise there may be a problem of inability to teleport.","Radius deteksi untuk Serangan AFK.
Kami merekomendasikan bahwa radius deteksi tidak boleh melebihi jangkauan Aura Membunuh,
jika tidak, mungkin ada masalah ketidakmampuan untuk berteleportasi.","Detection radius for the AFK Attack.
We recommend that the detection radius should not exceed the range of KillAura,
otherwise there may be a problem of inability to teleport."
Detection Radius(m),Detection Radius(m),检测半径(米),檢測半徑(米),Detection Radius(m),Radius Deteksi(m),Bán kính detection(m)
Mob Drop Radius (m),Mob Drop Radius (m),生物掉落物吸附半径(米),生物掉落物吸附半徑(米),Радиус упавших предметов с мобов (в метрах),Radius Drop Musuh (m),Bán kính đồ rơi ra của Sinh Vật (m)
Radius to check for valid targets.,Radius to check for valid targets.,有效目标检测范围.,有效目標檢測範圍.,Радиус для проверки валидных целей.,Radius untuk mengecek target yang valid.,Bán kính để check các mục tiêu khả dụng.
Radius of common loot vacuum.,Radius of common loot vacuum.,普通物品的吸附范围,普通物品的吸附範圍,Радиус сбора обычных предметов.,Radius vakum common.,Bán kính của các loot vaccum thông thường.
"Radius of mob drop vacuum.
(Item Drops and Equipments)","Radius of mob drop vacuum.
(Item Drops and Equipments)","生物掉落的吸附范围/
(掉落道具/装备)","生物掉落的吸附範圍/
(掉落道具/裝備)",Радиус притягивания упавших предметов мобов.,Radius vakum item drop. (Item Drop dan Equipment),Bán kính của máy hút nhặt đồ rơi ra từ sinh vật (Vật phẩm rơi ra và Trang Bị)
Radius of vacuum.,Radius of vacuum.,吸附范围.,吸附範圍.,Радиус вакуума.,Radius vakum.,Bán kính của máy hút.
Raiden Shogun,Raiden Shogun,雷电将军,雷電將軍,Райдэн,Raiden Shogun,Raiden Shogun
RaidenEi,RaidenEi,雷电影,雷電影,Райдэн,RaidenEi,RaidenEi
RaidenShogun,RaidenShogun,雷电将军,雷電將軍,Сёгун Райдэн,RaidenShogun,RaidenShogun
Raimei Angelfish,Raimei Angelfish,雷鸣仙,雷鳴仙,Рыба-ангел раймэй,Raimei Angelfish,Cá Lôi Minh Tiên
Rainslasher,Rainslasher,雨裁,雨裁,Дождерез,Rainslasher,Vũ Tài
RapidFire,RapidFire,攻击效果,攻擊效果,Rapid Fire,RapidFire,RapidFire
Rate,Rate,百分比,百分比,Темп,Rasio,Tỉ lệ
Missing Attack Rate,Missing Attack Rate,攻击闪避概率,攻擊閃避概率,Шанс промаха вражеской атаки,Rasio Menghindari Serangan,Tỉ lệ đánh trượt
Raven Bow,Raven Bow,鸦羽弓,鴉羽弓,Лук ворона,Raven Bow,Cung lông quạ
Raw Meat,Raw Meat,兽肉,獸肉,Сырое мясо,Raw Meat,Thịt sống
Razor,Razor,雷泽,雷澤,Рэйзор,Razor,Razor
RC,RC,RC,RC,RC,RC,RC
FULL-AUTO Elemental reaction!,FULL-AUTO Elemental reaction!,全自动打反应！,全自動元素反應!,Бесперерывные элементальные реакции!,Reaksi Elemen OTOMATIS!,Auto phản ứng nguyên tố!
Recurve Bow,Recurve Bow,反曲弓,反曲弓,Изогнутый лук,Recurve Bow,Cung Lông Vũ
Red Horned Lizard,Red Horned Lizard,红角蜥,紅角蜥,Красная рогатая ящерица,Red Horned Lizard,Thằn lằn sừng đỏ
Red Tailed Lizard,Red Tailed Lizard,赤尾蜥,赤尾蜥,Краснохвостая ящерица,Red Tailed Lizard,Thằn lằn đuôi đỏ
Red-Finned Unagi,Red-Finned Unagi,赤鳍陆鳗鳗,赤鰭陸鰻鰻,Краснопёрый унаги,Red-Finned Unagi,Lươn đỏ
Red-Tailed Weasel,Red-Tailed Weasel,红尾鼬,紅尾鼬,Краснохвостый хорёк,Red-Tailed Weasel,Chồn đuôi đỏ
Redcrest,Redcrest,赤念果,赤念果,Красноплодник,Redcrest,Quả xích niệm
Redhorn Stonethresher,Redhorn Stonethresher,赤角石溃杵,赤角石潰杵,Краснорогий камнеруб,Redhorn Stonethresher,Xích giác phá thạch đao
Relay Stone,Relay Stone,聚电石,聚電石,Релейный камень,Relay Stone,Đá relay
Remarkable,Remarkable,奇馈,奇饋,Удивительный,Remarkable,Đáng Chú Ý
Remarkable Chest,Remarkable Chest,奇馈宝箱,奇饋寶箱,Удивительный сундук,Remarkable Chest,Rương Kỳ dị
RemoteCombine,RemoteCombine,远程合成,遠程合成,Удалённая алхимия,RemoteCombine,Remote Ghép
RemoteUtility,RemoteUtility,远程工具,遠程工具,Удалённый доступ,RemoteUtility,Remote Chức năng
Lower = Smoother,Lower = Smoother,越低越平滑,越低越平滑,Меньше = Плавнее,Rendah = Halus,Ít hơn = Mượt hơn
The detection range for entity targeting.,The detection range for entity targeting.,检测实体的范围。,檢測實體的範圍。,The detection range for entity targeting.,Rentang deteksi untuk menargetkan entitas.,Máy phát hiện khoảng cách cho thực thể đang được target.
Recipe,Recipe,食谱,食譜,Рецепт,Resep,Công thức
Reset Roll,Reset Roll,重置滚动,重置滾動,Сбросить прокрутку,Reset Tarikan,Reset Roll
ResetObj,ResetObj,重置,重置,ResetObj,ResetObj,ResetObj
Risk Unknown!,Risk Unknown!,风险未知!,風險未知!,Риск неизвестен!,Resiko Tidak Diketahui!,Risk Unknown!
ResonanceWind,ResonanceWind,与风元素共鸣,與風元素共鳴,ResonanceWind,Resonansi Anemo,Cộng hưởng Phong
ResonanceGrass,ResonanceGrass,与草元素共鸣,與草元素共鳴,ResonanceGrass,Resonansi Dendro,Cộng hưởng Thảo
ResonanceElectric,ResonanceElectric,与雷元素共鸣,與雷元素共鳴,ResonanceElectric,Resonansi Electro,Cộng hưởng Lôi
ResonanceRock,ResonanceRock,与岩元素共鸣,與岩元素共鳴,ResonanceRock,Resonansi Geo,Cộng hưởng Nham
Resonance!,Resonance!,共鸣!,共鳴!,Resonance!,Resonansi!,Cộng Hưởng!
Resources,Resources,资源,資源,Ресурсы,Resources,Các nguồn tài nguyên
Rifthound,Rifthound,兽境猎犬,獸境獵犬,Гончая разрыва,Rifthound,Sói ma vật
Rifthound Whelp,Rifthound Whelp,兽境幼犬,獸境幼犬,Щенок разрыва,Rifthound Whelp,Sói ma vật nham
Rishboland Tiger,Rishboland Tiger,长鬓虎,長鬢虎,Тигр ришболда,Rishboland Tiger,Hổ lông dài
Rnm,Rnm,重命名,重命名,Rnm,Rnm,Rnm
Rock,Rock,岩,岩,Rock,Rock,Đá
Rock Pile,Rock Pile,岩石堆,岩石堆,Куча камней,Rock Pile,Cọc đá
Rosaria,Rosaria,罗莎莉亚,羅莎莉亞,Розария,Rosaria,Rosaria
Rosaria_ToTheChurchsFreeSpirit,Rosaria: ToTheChurchsFreeSpirit,罗莎莉亚：致教会自由人,羅莎莉亞：致教會自由人,Розария: За вольный дух церкви,Rosaria_ToTheChurchsFreeSpirit,Rosaria: ToTheChurchsFreeSpirit
Royal Bow,Royal Bow,宗室长弓,宗室長弓,Королевский лук,Royal Bow,Cung tông thất
Royal Greatsword,Royal Greatsword,宗室大剑,宗室大劍,Королевский двуручный меч,Royal Greatsword,Đại kiếm tông thất
Royal Grimoire,Royal Grimoire,宗室秘法录,宗室秘法錄,Королевский гримуар,Royal Grimoire,Mật pháp tông thất
Royal Longsword,Royal Longsword,宗室长剑,宗室長劍,Королевский длинный меч,Royal Longsword,Trường kiếm tông thất
Royal Spear,Royal Spear,宗室长枪,宗室長槍,Королевское копьё,Royal Spear,Thương săn tông thất
Ruin Brazier,Ruin Brazier,遗迹之烛,遺跡之燭,Свеча руин,Ruin Brazier,Trụ hoả
Ruin Drake,Ruin Drake,遗迹龙兽,遺跡龍獸,Дракон руин,Ruin Drake,Rồng điềm báo vạn kiếp
Ruin Grader,Ruin Grader,遗迹重机,遺跡重機,Руинный молотильщик,Ruin Grader,Cần cẩu di tích
Ruin Guard,Ruin Guard,遗迹守卫,遺跡守衛,Страж руин,Ruin Guard,Thủ vệ di tích
Ruin Hunter,Ruin Hunter,遗迹猎手,遺跡獵手,Руинный охотник,Ruin Hunter,Thợ săn di tích
Ruin Sentinel,Ruin Sentinel,遗迹机兵,遺跡機兵,Часовые руин,Ruin Sentinel,Hộ vệ di tích
Ruin Serpent,Ruin Serpent,遗迹巨蛇,遺跡巨蛇,Змей руин,Ruin Serpent,Rắn di tích
Rukkhashava Mushroom,Rukkhashava Mushroom,树王圣体菇,樹王聖體菇,Гриб руккхашава,Rukkhashava Mushroom,Nấm Rukkhashava
Rust,Rust,弓藏,弓藏,Ржавый лук,Rust,Cung Rỉ sét
Rusty Koi,Rusty Koi,锖假龙,錆假龍,Стальной лжедракон,Rusty Koi,Cá rồng thép
"When pressed, revert latest complete operation.","When pressed, revert latest complete operation.",当按下时，恢复离角色最近的点位。,當按下時，恢覆離角色最近的點位。,При нажатии горячей клавиши отменит предыдущее действие.,"Saat ditekan, membatalkan penyelesaian poin terakhir.","Khi nhấn, sẽ biến điểm xoá gần nhất quay lại"
"When pressed, complete the nearest to avatar point.","When pressed, complete the nearest to avatar point.",当按下时，完成离角色最近的点位。,當按下時，完成離角色最近的點位。,"При нажатии горячей клавиши будет закрывать точку, самую ближайшую к игроку.","Saat ditekan, menandai poin terdekat avatar sebagai selesai.","Khi nhấn, sẽ loại bỏ điểm gần nhất trên map avatar"
"When key pressed, will teleport to nearest %s if exists.","When key pressed, will teleport to nearest %s if exists.",按下按键将传送至最近存在的%s,按下按鍵將傳送至最近存在的%s,"При нажатии горячей клавиши будет телепортировать до ближейшего %s, если он существует.","Saat ditekan, teleportasi ke %s terdekat jika ada.","Khi nút được nhấn, sẽ dịch chuyển đến %s nếu nó tốn tại."
When entity was gathered finding nearest point in this range.,When entity was gathered finding nearest point in this range.,当对象生成时在这个范围寻找最近的点,當對象生成時在這個範圍尋找最近的點,"огда entity был собран, найти ближайшую точку в этом радиусе.","Saat entitas dikumpulkan, mencari poin terdekat dalam jarak ini.",Khi vật phẩm được nhặt ở điểm gần nhất trong khoản cách này.
Automatically disables auto pickup when bag is full.,Automatically disables auto pickup when bag is full.,当背包上限时关闭自动拾取.,當背包上限時關閉自動拾取.,Автоматически выключать автоподбор при полном инвентаре.,"Saat tas sudah penuh, otomatis ambil akan dinonaktifkan.",Tự động tắt tính năng nhặt khi túi đầy.
"Change behavior to a held down toggle if bound to a key.
Leave as 'None' for default behavior (always on).","Change behavior to a held down toggle if bound to a key.
Leave as 'None' for default behavior (always on).","如果设置快捷键，则只有按住快捷键将开启自动对话。
清除快捷键将始终启用。","如果設置快捷鍵，則只有按住快捷鍵將開啟自動對話。
清除快捷鍵將始終啟用。","Переключается при зажатой горячей клавише.
Оставьте на ""Не назначено"" для настройки по умолчанию (всегда включено).","Saat tombol diset, fitur hanya aktif ketika menahan tombol tersebut.
Biarkan sebagai 'Kosong' jika ingin fitur selalu aktif.",Thay đổi bản đồ để áp dụng.
Sacred Sakura,Sacred Sakura,神樱树,神櫻樹,Священная сакура,Sacred Sakura,Anh Đào Thần
Sacred Seal,Sacred Seal,圣章石,聖章石,Священная печать,Sacred Seal,Đá thánh chương
Sacrificial Bow,Sacrificial Bow,祭礼弓,祭禮弓,Церемониальный лук,Sacrificial Bow,Cung tế lễ
Sacrificial Fragments,Sacrificial Fragments,祭礼残章,祭禮殘章,Церемониальные мемуары,Sacrificial Fragments,Mảnh chương tế lễ
Sacrificial Greatsword,Sacrificial Greatsword,祭礼大剑,祭禮大劍,Церемониальный двуручный меч,Sacrificial Greatsword,Đại kiếm tế lễ
Sacrificial Sword,Sacrificial Sword,祭礼剑,祭禮劍,Церемониальный меч,Sacrificial Sword,Kiếm tế lễ
Saghira Machine,Saghira Machine,能量提取装置,能量提取裝置,Экстрактор для добычи энергии,Saghira Machine,Cổ máy Saghira
Sakura Bloom,Sakura Bloom,绯樱绣球,緋櫻繡球,Цвет сакуры,Sakura Bloom,Hạt anh đào
Salamander,Salamander,鳅鳅,鰍鰍,Саламандра,Salamander,Thằn lằn
Copy,Copy,复制,複製,Copy,Salin,Sao chép
Copy as json,Copy as json,复制为json,複製為json,Скопировать как .json,Salin dalam bentuk json,Sao chép dưới dạng json
Copy Details,Copy Details,复制详细信息,複製詳細資訊,Скопировать детали,Salin Detail,Sao chép chi tiết
Copy to Clipboard,Copy to Clipboard,复制到剪切板,複製到剪切板,Скопировать в буфер обмена,Salin ke Clipboard,Sao chép vào bộ nhớ tạm
Copy to ESP custom filters,Copy to ESP custom filters,复制到ESP自定义筛选器,複製到ESP自定義篩選器,Скопировать в пользовательские фильтры ESP,Salin ke filter kustom ESP,Sao chép vào bộ lọc tùy chỉnh ESP
Copy Position,Copy Position,复制坐标,複製座標,Скопировать позицию,Salin Posisi,Sao chép vị trí
Copy All Details,Copy All Details,复制所有详细信息,複製所有詳細資訊,Скопировать все детали,Salin Semua Detail,Sao chép tất cả chi tiết
Copy All Info,Copy All Info,复制全部信息,複製全部訊息,Скопировать всю информацию,Salin Semua Info,Sao chép tất cả thông tin
Samachurl,Samachurl,丘丘萨满,丘丘薩滿,Самачурл,Samachurl,Phù thuỷ hilichurl
Sand Grease Pupa,Sand Grease Pupa,沙脂蛹,沙脂蛹,Личинка песчаного жировика,Sand Grease Pupa,Nhộng Cát
